strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
999,1.0,20.0,5.0,4.0,2.0,0.0,2.0,3.0,2.0,0.0,4.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,13,1.0,0.0
1052,2.0,74.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,1.0,6.0,2.0,0.0,0.0,3.0,4.0,0.0,5,0.0,0.0
17_2,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,2.0,1.0
217,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5,0.0,1.0
22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6,0.0,0.0
292,3.0,0.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,3,1.0,0.0
387,3.0,16.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,1.0,2.0,0.0,3.0,37.0,0.0,4,1.0,0.0
411,4.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,8,1.0,1.0
44,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3,0.0,0.0
501,2.0,0.0,2.0,6.0,7.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,333.0,5.0,2,1.0,2.0
506,20.0,5.0,2.0,94.0,6.0,1.0,1.0,0.0,5.0,0.0,6.0,4.0,5.0,3.0,13.0,2.0,118.0,1.0,7,0.0,1.0
59,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5,0.0,0.0
607,44.0,0.0,3.0,24.0,271.0,4.0,7.0,9.0,6.0,0.0,62.0,0.0,5.0,16.0,167.0,7.0,4.0,7.0,13,4.0,4.0
643,43.0,6.0,3.0,35.0,11.0,9.0,21.0,1.0,15.0,2.0,132.0,13.0,6.0,9.0,18.0,2.0,9.0,2.0,34,3.0,10.0
753,6.0,24.0,8.0,9.0,10.0,14.0,8.0,13.0,32.0,2.0,25.0,6.0,9.0,1.0,13.0,15.0,3.0,23.0,97,4.0,17.0
79,2.0,0.0,3.0,0.0,1.0,2.0,0.0,4.0,5.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,4,4.0,0.0
917,2.0,0.0,5.0,4.0,1.0,2.0,12.0,3.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,13,1.0,1.0
956,3.0,17.0,6.0,12.0,13.0,7.0,8.0,6.0,11.0,4.0,4.0,21.0,6.0,7.0,10.0,31.0,6.0,17.0,27,2.0,4.0
454,1.0,1.0,5.0,0.0,0.0,15.0,1.0,3.0,23.0,9.0,7.0,0.0,9.0,0.0,0.0,18.0,2.0,3.0,23,31.0,14.0
932,6.0,8.0,4.0,10.0,6.0,12.0,0.0,6.0,20.0,3.0,4.0,8.0,2.0,4.0,5.0,16.0,6.0,13.0,47,34.0,10.0
