strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
732,4.0,3.0,975.0,8.0,3.0,211.0,31.0,354.0,231.0,344.0,2.0,0.0,164.0,1.0,32.0,253.0,54.0,403.0,182.0,292.0,39.0
734,192.0,659.0,184.0,124.0,538.0,168.0,189.0,90.0,62.0,57.0,75.0,265.0,58.0,31.0,640.0,51.0,25.0,21.0,29.0,43.0,13.0
735,3.0,6.0,42.0,1.0,0.0,62.0,3.0,29.0,214.0,91.0,0.0,0.0,6.0,0.0,2.0,49.0,10.0,46.0,35.0,42.0,8.0
738,127.0,2337.0,126.0,64.0,221.0,142.0,561.0,53.0,72.0,50.0,55.0,62.0,10.0,21.0,389.0,35.0,42.0,62.0,40.0,54.0,47.0
739,45.0,19.0,172.0,40.0,26.0,245.0,175.0,291.0,847.0,473.0,50.0,2.0,87.0,12.0,124.0,383.0,72.0,317.0,468.0,299.0,243.0
740,3.0,5.0,23.0,18.0,2.0,18.0,11.0,32.0,120.0,12.0,4.0,0.0,26.0,7.0,13.0,20.0,34.0,32.0,9.0,29.0,6.0
741,153.0,12.0,339.0,236.0,786.0,30.0,10.0,87.0,98.0,37.0,66.0,6.0,190.0,46.0,1710.0,33.0,8.0,47.0,40.0,79.0,6.0
742,64.0,59.0,791.0,235.0,110.0,461.0,177.0,610.0,1303.0,565.0,32.0,30.0,369.0,41.0,1399.0,389.0,217.0,472.0,754.0,981.0,104.0
748,4.0,4.0,47.0,9.0,5.0,30.0,10.0,18.0,94.0,8.0,3.0,5.0,13.0,5.0,31.0,24.0,27.0,17.0,26.0,30.0,20.0
749,6.0,2.0,2.0,2.0,4.0,11.0,4.0,12.0,17.0,9.0,2.0,0.0,1.0,7.0,12.0,11.0,16.0,12.0,4.0,14.0,2.0
754,2.0,9.0,1.0,4.0,6.0,9.0,3.0,21.0,19.0,27.0,1.0,2.0,1.0,3.0,22.0,27.0,9.0,18.0,7.0,19.0,9.0
755,1.0,15.0,0.0,1.0,5.0,5.0,4.0,14.0,13.0,7.0,0.0,0.0,1.0,0.0,5.0,12.0,5.0,10.0,5.0,9.0,2.0
756,1005.0,3699.0,1101.0,2439.0,2039.0,528.0,976.0,379.0,731.0,457.0,593.0,146.0,473.0,954.0,3858.0,608.0,220.0,333.0,354.0,779.0,278.0
760,787.0,128.0,582.0,764.0,912.0,130.0,19.0,122.0,142.0,145.0,375.0,10.0,496.0,536.0,1949.0,169.0,9.0,62.0,82.0,178.0,26.0
77,111.0,10.0,400.0,57.0,190.0,54.0,3.0,36.0,48.0,12.0,13.0,13.0,6.0,25.0,473.0,50.0,5.0,50.0,14.0,58.0,7.0
772,0.0,23.0,3.0,12.0,9.0,5.0,16.0,17.0,22.0,7.0,6.0,22.0,4.0,0.0,59.0,10.0,8.0,4.0,4.0,5.0,2.0
775,4.0,11.0,271.0,20.0,2.0,98.0,82.0,303.0,217.0,208.0,8.0,8.0,231.0,4.0,34.0,264.0,29.0,113.0,154.0,313.0,77.0
778,54.0,11.0,113.0,99.0,88.0,23.0,20.0,44.0,41.0,71.0,39.0,4.0,17.0,20.0,392.0,55.0,32.0,29.0,21.0,112.0,11.0
78,0.0,4.0,1.0,5.0,5.0,10.0,0.0,11.0,11.0,6.0,3.0,0.0,2.0,5.0,29.0,8.0,3.0,5.0,2.0,10.0,2.0
782,3.0,2.0,906.0,3.0,0.0,207.0,7.0,518.0,255.0,192.0,3.0,1.0,147.0,0.0,22.0,251.0,78.0,301.0,123.0,352.0,59.0
783,2751.0,26363.0,588.0,954.0,1850.0,183.0,498.0,102.0,318.0,363.0,903.0,1112.0,681.0,403.0,6671.0,750.0,22.0,226.0,288.0,351.0,48.0
